Nr,exercise,question,answer,case,german,english
693,15,_____ dem Klimawandel nehmen extreme Wetterereignisse zu.,Mit,,Mit dem Klimawandel nehmen extreme Wetterereignisse zu.,"With climate change, extreme weather events are increasing."
694,15,_____ schlechtem Wetter findet das Konzert in der Halle statt.,Bei,,Bei schlechtem Wetter findet das Konzert in der Halle statt.,"In bad weather, the concert takes place indoors."
695,15,_____ der Arbeit höre ich oft klassische Musik.,Bei,,Bei der Arbeit höre ich oft klassische Musik.,I often listen to classical music while working.
696,15,_____ näherer Betrachtung sieht man den Fehler sofort.,Bei,,Bei näherer Betrachtung sieht man den Fehler sofort.,"Upon closer inspection, you can see the mistake immediately."
697,15,_____ hohen Temperaturen sollte man viel trinken.,Bei,,Bei hohen Temperaturen sollte man viel trinken.,You should drink a lot in high temperatures.
698,15,_____ diesem Geräusch kriege ich jedes Mal eine Gänsehaut.,Bei,,Bei diesem Geräusch kriege ich jedes Mal eine Gänsehaut.,That sound gives me goosebumps every time.
699,15,_____ ausreichende Vorbereitung ist die Präsentation riskant.,Ohne,,Ohne ausreichende Vorbereitung ist die Präsentation riskant.,"Without sufficient preparation, the presentation is risky."
700,15,Man sollte das Medikament nicht _____ Rücksprache mit dem Arzt nehmen.,ohne,,Man sollte das Medikament nicht ohne Rücksprache mit dem Arzt nehmen.,You shouldn't take the medication without consulting a doctor.
701,15,_____ klare Ziele verliert man leicht die Motivation.,Ohne,,Ohne klare Ziele verliert man leicht die Motivation.,"Without clear goals, it’s easy to lose motivation."
702,15,Diese Aufgabe ist _____ Teamarbeit kaum zu schaffen.,ohne,,Diese Aufgabe ist ohne Teamarbeit kaum zu schaffen.,This task is hardly manageable without teamwork.
703,15,_____ stichhaltige Beweise wird die Anklage keinen Erfolg haben.,Ohne,,Ohne stichhaltige Beweise wird die Anklage keinen Erfolg haben.,"Without solid evidence, the prosecution won’t succeed."
704,15,_____ dem Bericht der Polizei gab es keine Verletzten.,Nach,,Nach dem Bericht der Polizei gab es keine Verletzten.,"According to the police report, there were no injuries."
705,15,_____ Expertenmeinung ist das Risiko gering.,Nach,,Nach Expertenmeinung ist das Risiko gering.,"According to experts, the risk is low."
706,15,_____ dem Wetterbericht wird es morgen regnen.,Nach,,Nach dem Wetterbericht wird es morgen regnen.,"According to the weather report, it will rain tomorrow."
707,15,_____ seiner Aussage war er zur Tatzeit nicht vor Ort.,Nach,,Nach seiner Aussage war er zur Tatzeit nicht vor Ort.,"According to his statement, he wasn't at the scene."
708,15,_____ den Regeln ist das nicht erlaubt.,Nach,,Nach den Regeln ist das nicht erlaubt.,"According to the rules, that’s not allowed."
709,15,_____ Notfall rufen Sie bitte sofort den Rettungsdienst.,Im,,Im Notfall rufen Sie bitte sofort den Rettungsdienst.,"In case of emergency, please call emergency services immediately."
710,15,_____ Zweifelsfall entscheiden wir uns für die sicherere Option.,Im,,Im Zweifelsfall entscheiden wir uns für die sicherere Option.,"In case of doubt, we’ll choose the safer option."
711,15,_____ Ernstfall muss schnell gehandelt werden.,Im,,Im Ernstfall muss schnell gehandelt werden.,"In a serious situation, quick action is required."
712,15,_____ Idealfall ist das Projekt in drei Monaten abgeschlossen.,Im,,Im Idealfall ist das Projekt in drei Monaten abgeschlossen.,"Ideally, the project will be completed in three months."
713,15,_____ Extremfall können ganze Dörfer evakuiert werden.,Im,,Im Extremfall können ganze Dörfer evakuiert werden.,"In extreme cases, entire villages may be evacuated."
714,15,Der Rock wurde _____ fünf Zentimeter gekürzt.,um,,Der Rock wurde um fünf Zentimeter gekürzt.,The skirt was shortened by five centimeters.
715,15,Die Preise sind _____ zehn Prozent gestiegen.,um,,Die Preise sind um zehn Prozent gestiegen.,Prices have increased by ten percent.
716,15,Er hat sich _____ zwei Kilo verbessert.,um,,Er hat sich um zwei Kilo verbessert.,He improved by two kilos.
717,15,Die Temperatur sank über Nacht _____ sieben Grad.,um,,Die Temperatur sank über Nacht um sieben Grad.,The temperature dropped by seven degrees overnight.
718,15,Die Firma konnte ihren Umsatz _____ ein Drittel steigern.,um,,Die Firma konnte ihren Umsatz um ein Drittel steigern.,The company was able to increase its revenue by a third.
719,15,Sie hat die Gäste _____ elegante Weise empfangen.,auf,,Sie hat die Gäste auf elegante Weise empfangen.,She welcomed the guests in an elegant manner.
720,15,Er antwortete _____ typische Berliner Art – direkt und ohne Umschweife.,auf,,Er antwortete auf typische Berliner Art – direkt und ohne Umschweife.,He replied in typical Berlin fashion – direct and without fuss.
721,15,Das Essen wurde _____ italienische Art zubereitet.,auf,,Das Essen wurde auf italienische Art zubereitet.,The food was prepared in the Italian way.
722,15,Sie verabschiedeten sich _____ herzliche Weise.,auf,,Sie verabschiedeten sich auf herzliche Weise.,They said goodbye in a warm and heartfelt manner.
723,15,Der Künstler malte das Porträt _____ ungewöhnliche Weise.,auf,,Der Künstler malte das Porträt auf ungewöhnliche Weise.,The artist painted the portrait in an unusual way.
724,15,_____ gestern ist der Verkehr heute viel ruhiger.,Gegen,,Gegen gestern ist der Verkehr heute viel ruhiger.,"Compared to yesterday, traffic is much calmer today."
725,15,Die neue Version ist _____ die alte deutlich benutzerfreundlicher.,gegen,,Die neue Version ist gegen die alte deutlich benutzerfreundlicher.,"Compared to the old one, the new version is clearly more user-friendly."
726,15,_____ den Winter ist der Herbst noch angenehm mild.,Gegen,,Gegen den Winter ist der Herbst noch angenehm mild.,"Compared to winter, autumn is still pleasantly mild."
727,15,Die Ergebnisse wirken _____ unsere Erwartungen überraschend gut.,gegen,,Die Ergebnisse wirken gegen unsere Erwartungen überraschend gut.,The results seem surprisingly good compared to our expectations.
728,15,_____ seine frühere Arbeit ist das ein großer Fortschritt.,Gegen,,Gegen seine frühere Arbeit ist das ein großer Fortschritt.,"Compared to his earlier work, this is a major improvement."
729,15,_____ seinem Studium arbeitet er in einem Café.,Neben,,Neben seinem Studium arbeitet er in einem Café.,"In addition to his studies, he works in a café."
730,15,_____ der Sprache interessiert sie sich auch für die Kultur.,Neben,,Neben der Sprache interessiert sie sich auch für die Kultur.,"In addition to the language, she’s also interested in the culture."
731,15,_____ den finanziellen Aspekten spielen auch emotionale Gründe eine Rolle.,Neben,,Neben den finanziellen Aspekten spielen auch emotionale Gründe eine Rolle.,"In addition to financial aspects, emotional reasons also play a role."
732,15,_____ ihrer Tätigkeit als Lehrerin schreibt sie Kinderbücher.,Neben,,Neben ihrer Tätigkeit als Lehrerin schreibt sie Kinderbücher.,"In addition to her work as a teacher, she writes children’s books."
733,15,_____ dem Hauptsitz gibt es noch drei weitere Niederlassungen.,Neben,,Neben dem Hauptsitz gibt es noch drei weitere Niederlassungen.,"In addition to the headquarters, there are three other branches."
734,15,Das Problem wurde _____ eine neue Methode gelöst.,durch,,Das Problem wurde durch eine neue Methode gelöst.,The problem was solved through a new method.
735,15,Die Stadt wurde _____ ein Erdbeben zerstört.,durch,,Die Stadt wurde durch ein Erdbeben zerstört.,The city was destroyed by an earthquake.
736,15,Die Tür wurde _____ einen starken Windstoß geöffnet.,durch,,Die Tür wurde durch einen starken Windstoß geöffnet.,The door was opened by a strong gust of wind.
737,15,Das Unternehmen wurde _____ eine Fusion gerettet.,durch,,Das Unternehmen wurde durch eine Fusion gerettet.,The company was saved through a merger.
738,15,Die Daten wurden _____ eine Software analysiert.,durch,,Die Daten wurden durch eine Software analysiert.,The data was analyzed by a software program.
739,15,Das Buch wurde _____ einem berühmten Autor geschrieben.,von,,Das Buch wurde von einem berühmten Autor geschrieben.,The book was written by a famous author.
740,15,Der Dieb wurde _____ der Polizei festgenommen.,von,,Der Dieb wurde von der Polizei festgenommen.,The thief was arrested by the police.
741,15,Die Brücke wurde _____ Ingenieuren geplant.,von,,Die Brücke wurde von Ingenieuren geplant.,The bridge was designed by engineers.
742,15,Der Fehler wurde _____ einem Mitarbeiter entdeckt.,von,,Der Fehler wurde von einem Mitarbeiter entdeckt.,The mistake was discovered by an employee.
743,15,Die Entscheidung wurde _____ der Geschäftsleitung getroffen.,von,,Die Entscheidung wurde von der Geschäftsleitung getroffen.,The decision was made by the management.
744,15,Er half ihr _____ Freundlichkeit.,aus,,Er half ihr aus Freundlichkeit.,He helped her out of kindness.
745,15,Sie entschied sich _____ Vernunft für diesen Job.,aus,,Sie entschied sich aus Vernunft für diesen Job.,She chose this job out of reason.
746,15,_____ Respekt unterbrach er die Diskussion nicht.,Aus,,Aus Respekt unterbrach er die Diskussion nicht.,"Out of respect, he didn’t interrupt the discussion."
747,15,Er spendete Geld _____ Mitgefühl für die Opfer.,aus,,Er spendete Geld aus Mitgefühl für die Opfer.,He donated money out of compassion for the victims.
748,15,_____ Interesse besuchte sie das Seminar.,Aus,,Aus Interesse besuchte sie das Seminar.,She attended the seminar out of interest.
749,15,Er zitterte _____ Kälte.,vor,,Er zitterte vor Kälte.,He was shivering from the cold.
750,15,Sie weinte _____ Freude.,vor,,Sie weinte vor Freude.,She cried out of joy.
751,15,_____ Angst konnte er nicht sprechen.,Vor,,Vor Angst konnte er nicht sprechen.,"Out of fear, he couldn’t speak."
752,15,Er wurde _____ Schreck blass.,vor,,Er wurde vor Schreck blass.,He turned pale from shock.
753,15,Sie lachte _____ Erleichterung.,vor,,Sie lachte vor Erleichterung.,She laughed out of relief.
754,15,_____ den erfolgreichen Abschluss des Projekts müssen alle Teammitglieder zusammenarbeiten.,Für,,Für den erfolgreichen Abschluss des Projekts müssen alle Teammitglieder zusammenarbeiten.,All team members must work together to successfully complete the project.
755,15,_____ den Schutz der Umwelt sollten wir weniger Plastik verwenden.,Für,,Für den Schutz der Umwelt sollten wir weniger Plastik verwenden.,"To protect the environment, we should use less plastic."
756,15,_____ den Ausbau der Infrastruktur stellt die Regierung mehr Mittel bereit.,Für,,Für den Ausbau der Infrastruktur stellt die Regierung mehr Mittel bereit.,The government is providing more funding for infrastructure expansion.
757,15,_____ den Schutz der Daten wurden neue Sicherheitsvorkehrungen eingeführt.,Für,,Für den Schutz der Daten wurden neue Sicherheitsvorkehrungen eingeführt.,New security measures have been introduced to protect data.
758,15,_____ die Eröffnung der Ausstellung wurden zahlreiche Gäste eingeladen.,Für,,Für die Eröffnung der Ausstellung wurden zahlreiche Gäste eingeladen.,Numerous guests were invited to the exhibition opening.
759,15,_____ Verbesserung der Kundenbetreuung wurden neue Mitarbeiter eingestellt.,Zur,,Zur Verbesserung der Kundenbetreuung wurden neue Mitarbeiter eingestellt.,New employees were hired to improve customer service.
760,15,_____ Lösung des Problems haben wir eine Expertenrunde einberufen.,Zur,,Zur Lösung des Problems haben wir eine Expertenrunde einberufen.,We convened a panel of experts to address the problem.
761,15,_____ Förderung der Kreativität wurden spezielle Workshops organisiert.,Zur,,Zur Förderung der Kreativität wurden spezielle Workshops organisiert.,Special workshops were organized to encourage creativity.
762,15,_____ Erhöhung der Sicherheit wurden neue Kameras installiert.,Zur,,Zur Erhöhung der Sicherheit wurden neue Kameras installiert.,New cameras were installed to increase security.
763,15,_____ Verbesserung der Zusammenarbeit wurden regelmäßige Meetings eingeführt.,Zur,,Zur Verbesserung der Zusammenarbeit wurden regelmäßige Meetings eingeführt.,Regular meetings were introduced to improve collaboration.
764,16,"along, down",entlang,Accusative or Genitive,,
765,16,with the help of,mithilfe,Genitive,,
766,16,"in view of, considering, in light of",angesichts,Genitive,,
767,16,based on,anhand,Genitive,,
768,16,"except, besides, appart from",ausser,Dative,,
769,16,thanks to,dank,Genitive (Dative colloquial),,
770,16,contrary to,entgegen,Dative,,
771,16,as a result of,infolge,Genitive,,
772,16,due to a lack of,mangels,Genitive,,
773,16,"by means of, through, using",mittels,Genitive,,
774,17,Wir sind den ganzen Tag den Strand _____ gelaufen.,entlang,,Wir sind den ganzen Tag den Strand entlang gelaufen.,We walked along the beach all day.
775,17,_____ der Strasse stehen viele Bäume.,Entlang,,Entlang der Strasse stehen viele Bäume.,Along the street there are many trees.
776,17,Sie pflanzten Blumen _____ des Zauns.,entlang,,Sie pflanzten Blumen entlang des Zauns.,They planted flowers along the fence.
777,17,Der Zug fährt _____ der Küste.,entlang,,Der Zug fährt entlang der Küste.,The train travels along the coast.
778,17,_____ dieser Strecke gibt es viele Sehenswürdigkeiten.,Entlang,,Entlang dieser Strecke gibt es viele Sehenswürdigkeiten.,Along this stretch there are many sights.
779,17,_____ eines Wörterbuchs kann man neue Vokabeln schneller lernen.,Mithilfe,,Mithilfe eines Wörterbuchs kann man neue Vokabeln schneller lernen.,"With the help of a dictionary, one can learn new vocabulary faster."
780,17,Er hat das Problem _____ eines Experten gelöst.,mithilfe,,Er hat das Problem mithilfe eines Experten gelöst.,He solved the problem with the help of an expert.
781,17,_____ moderner Technologie können wir effizienter arbeiten.,Mithilfe,,Mithilfe moderner Technologie können wir effizienter arbeiten.,"With the help of modern technology, we can work more efficiently."
782,17,Das Experiment wurde _____ verschiedener Methoden durchgeführt.,mithilfe,,Das Experiment wurde mithilfe verschiedener Methoden durchgeführt.,The experiment was conducted using various methods.
783,17,_____ ihrer Freunde konnte sie die schwere Zeit überstehen.,Mithilfe,,Mithilfe ihrer Freunde konnte sie die schwere Zeit überstehen.,"With the help of her friends, she was able to get through the difficult time."
784,17,_____ der steigenden Kosten muss das Budget überarbeitet werden.,Angesichts,,Angesichts der steigenden Kosten muss das Budget überarbeitet werden.,"In view of the rising costs, the budget must be revised."
785,17,_____ der aktuellen Situation sollten wir vorsichtig sein.,Angesichts,,Angesichts der aktuellen Situation sollten wir vorsichtig sein.,"Given the current situation, we should be cautious."
786,17,_____ der wirtschaftlichen Lage werden viele Unternehmen vorsichtiger investieren.,Angesichts,,Angesichts der wirtschaftlichen Lage werden viele Unternehmen vorsichtiger investieren.,"Considering the economic situation, many companies are investing more cautiously."
787,17,_____ der Beweise konnte der Richter eine klare Entscheidung treffen.,Angesichts,,Angesichts der Beweise konnte der Richter eine klare Entscheidung treffen.,"In light of the evidence, the judge was able to make a clear decision."
788,17,_____ des Klimawandels müssen wir nachhaltiger leben.,Angesichts,,Angesichts des Klimawandels müssen wir nachhaltiger leben.,"In view of climate change, we need to live more sustainably."
789,17,_____ der Statistik lässt sich der Trend klar erkennen.,Anhand,,Anhand der Statistik lässt sich der Trend klar erkennen.,The trend can be clearly seen based on the statistics.
790,17,_____ seiner Aussagen kann man die Situation besser verstehen.,Anhand,,Anhand seiner Aussagen kann man die Situation besser verstehen.,"Based on his statements, one can better understand the situation."
791,17,Die Qualität wird _____ verschiedener Kriterien bewertet.,anhand,,Die Qualität wird anhand verschiedener Kriterien bewertet.,The quality is assessed based on various criteria.
792,17,_____ dieser Beispiele wird das Problem deutlich.,Anhand,,Anhand dieser Beispiele wird das Problem deutlich.,This problem becomes clear through these examples.
793,17,Die Echtheit des Dokuments wurde _____ von Experten geprüft.,anhand,,Die Echtheit des Dokuments wurde anhand von Experten geprüft.,The authenticity of the document was verified by experts.
794,17,_____ ihm hat niemand die Prüfung bestanden.,Ausser,,Ausser ihm hat niemand die Prüfung bestanden.,"Except for him, no one passed the exam."
795,17,_____ finanziellen Problemen gibt es noch andere Herausforderungen.,Ausser,,Ausser finanziellen Problemen gibt es noch andere Herausforderungen.,"Besides financial problems, there are other challenges."
796,17,_____ in Deutschland wird dieses Produkt auch in Österreich verkauft.,Ausser,,Ausser in Deutschland wird dieses Produkt auch in Österreich verkauft.,"Apart from Germany, this product is also sold in Austria."
797,17,_____ bei starkem Regen gehen wir jeden Tag joggen.,Ausser,,Ausser bei starkem Regen gehen wir jeden Tag joggen.,"Except in heavy rain, we go jogging every day."
798,17,_____ seiner Familie hat er niemandem davon erzählt.,Ausser,,Ausser seiner Familie hat er niemandem davon erzählt.,"Apart from his family, he hasn’t told anyone about it."
799,17,_____ seiner Hilfe konnten wir das Problem schnell lösen.,Dank,,Dank seiner Hilfe konnten wir das Problem schnell lösen.,"Thanks to his help, we were able to solve the problem quickly."
800,17,"Die Firma wächst stetig, _____ innovativer Ideen.",dank,,"Die Firma wächst stetig, dank innovativer Ideen.",The company is growing steadily thanks to innovative ideas.
801,17,_____ der modernen Medizin leben die Menschen länger.,Dank,,Dank der modernen Medizin leben die Menschen länger.,"Thanks to modern medicine, people live longer."
802,17,"Er hat die Prüfung bestanden, _____ seines intensiven Lernens.",dank,,"Er hat die Prüfung bestanden, dank seines intensiven Lernens.",He passed the exam thanks to his intensive studying.
803,17,_____ des guten Wetters konnten wir die Reise genießen.,Dank,,Dank des guten Wetters konnten wir die Reise genießen.,"Thanks to the good weather, we were able to enjoy the trip."
804,17,_____ den Erwartungen verlief das Projekt reibungslos.,Entgegen,,Entgegen den Erwartungen verlief das Projekt reibungslos.,"Contrary to expectations, the project went smoothly."
805,17,_____ seiner Aussage war er zur Tatzeit am Tatort.,Entgegen,,Entgegen seiner Aussage war er zur Tatzeit am Tatort.,"Contrary to his statement, he was at the scene of the crime."
806,17,_____ dem Rat ihrer Eltern zog sie ins Ausland.,Entgegen,,Entgegen dem Rat ihrer Eltern zog sie ins Ausland.,"Against her parents’ advice, she moved abroad."
807,17,_____ den Regeln nahm er unerlaubt am Wettbewerb teil.,Entgegen,,Entgegen den Regeln nahm er unerlaubt am Wettbewerb teil.,"He took part in the competition without permission, against the rules."
808,17,_____ der Meinung vieler Experten stieg der Aktienkurs weiter.,Entgegen,,Entgegen der Meinung vieler Experten stieg der Aktienkurs weiter.,"Contrary to the opinion of many experts, the stock price kept rising."
809,17,_____ des starken Regens gab es Überschwemmungen in der Region.,Infolge,,Infolge des starken Regens gab es Überschwemmungen in der Region.,"As a result of the heavy rain, there were floods in the region."
810,17,_____ der Wirtschaftskrise mussten viele Unternehmen schließen.,Infolge,,Infolge der Wirtschaftskrise mussten viele Unternehmen schließen.,"Due to the economic crisis, many businesses had to close."
811,17,_____ eines technischen Fehlers wurde der Flug gestrichen.,Infolge,,Infolge eines technischen Fehlers wurde der Flug gestrichen.,"Due to a technical error, the flight was canceled."
812,17,_____ der neuen Gesetzesänderung gelten strengere Regeln für Unternehmen.,Infolge,,Infolge der neuen Gesetzesänderung gelten strengere Regeln für Unternehmen.,"As a result of the new law change, stricter regulations apply to companies."
813,17,_____ der schlechten Wetterbedingungen wurde das Event verschoben.,Infolge,,Infolge der schlechten Wetterbedingungen wurde das Event verschoben.,"Due to bad weather conditions, the event was postponed."
814,17,_____ ausreichender Beweise konnte der Verdächtige nicht verurteilt werden.,Mangels,,Mangels ausreichender Beweise konnte der Verdächtige nicht verurteilt werden.,"Due to a lack of sufficient evidence, the suspect could not be convicted."
815,17,_____ Erfahrung fiel ihm die Aufgabe besonders schwer.,Mangels,,Mangels Erfahrung fiel ihm die Aufgabe besonders schwer.,"Due to a lack of experience, the task was particularly difficult for him."
816,17,_____ finanzieller Mittel wurde das Projekt gestoppt.,Mangels,,Mangels finanzieller Mittel wurde das Projekt gestoppt.,"Due to a lack of financial resources, the project was stopped."
817,17,_____ Interesse wurde die Veranstaltung abgesagt.,Mangels,,Mangels Interesse wurde die Veranstaltung abgesagt.,"Due to a lack of interest, the event was canceled."
818,17,_____ besserer Alternativen entschied man sich für diese Lösung.,Mangels,,Mangels besserer Alternativen entschied man sich für diese Lösung.,"For lack of better alternatives, this solution was chosen."
819,17,Die Identität des Täters wurde _____ DNA-Analyse bestätigt.,mittels,,Die Identität des Täters wurde mittels DNA-Analyse bestätigt.,The identity of the perpetrator was confirmed using DNA analysis.
820,17,Das Problem wurde _____ einer neuen Software gelöst.,mittels,,Das Problem wurde mittels einer neuen Software gelöst.,The problem was solved by means of new software.
821,17,_____ moderner Technologien kann die Effizienz gesteigert werden.,Mittels,,Mittels moderner Technologien kann die Effizienz gesteigert werden.,Efficiency can be increased through modern technologies.
822,17,Die Zahlung erfolgt _____ Kreditkarte oder Überweisung.,mittels,,Die Zahlung erfolgt mittels Kreditkarte oder Überweisung.,Payment is made by means of credit card or bank transfer.
823,17,Das Unternehmen optimiert seine Prozesse _____ künstlicher Intelligenz.,mittels,,Das Unternehmen optimiert seine Prozesse mittels künstlicher Intelligenz.,The company optimizes its processes using artificial intelligence.
824,18,"including, taking into account, inclusive of",einschließlich,Genitive (Accusative or Dative colloquial),,
825,18,"as opposed to, in contrast to, unlike",im Gegensatz zu,Dative,,
826,18,in addition to,zusätzlich zu,Dative,,
827,18,"on the occasion of, in honor of",anlässlich,Genitive,,
828,18,"excluding, apart from",ausschließlich,Genitive,,
829,18,on both sides of,beiderseits,Genitive,,
830,18,on this side of,diesseits,Genitive,,
831,18,"in the middle of, amid, surrounded by",inmitten,Genitive,,
832,18,"on the other side of, beyond",jenseits,Genitive,,
833,18,"by virtue of, by use of",kraft,Genitive,,
834,19,"Alle Teilnehmer, _____ der neuen Kollegen, müssen am Meeting teilnehmen.",einschließlich,,"Alle Teilnehmer, einschließlich der neuen Kollegen, müssen am Meeting teilnehmen.","All participants, including the new colleagues, must attend the meeting."
835,19,"Die Reise kostet 1.200 Euro, _____ aller Gebühren und Steuern.",einschließlich,,"Die Reise kostet 1.200 Euro, einschließlich aller Gebühren und Steuern.","The trip costs 1,200 euros, including all fees and taxes."
836,19,_____ des Anhangs umfasst der Bericht über 50 Seiten.,Einschließlich,,Einschließlich des Anhangs umfasst der Bericht über 50 Seiten.,"Including the appendix, the report consists of over 50 pages."
837,19,_____ der Feiertage haben wir zehn freie Tage am Stück.,Einschließlich,,Einschließlich der Feiertage haben wir zehn freie Tage am Stück.,"Including the holidays, we have ten days off in a row."
838,19,"Die Lieferung erfolgt innerhalb von fünf Tagen, _____ Wochenenden.",einschließlich,,"Die Lieferung erfolgt innerhalb von fünf Tagen, einschließlich Wochenenden.","Delivery will take place within five days, including weekends."
839,19,_____ seinen Kollegen arbeitet er lieber allein.,Im Gegensatz zu,,Im Gegensatz zu seinen Kollegen arbeitet er lieber allein.,"In contrast to his colleagues, he prefers to work alone."
840,19,_____ früheren Jahren hat sich das Klima stark verändert.,Im Gegensatz zu,,Im Gegensatz zu früheren Jahren hat sich das Klima stark verändert.,"In contrast to previous years, the climate has changed significantly."
841,19,_____ ihren Erwartungen war die Prüfung ziemlich schwer.,Im Gegensatz zu,,Im Gegensatz zu ihren Erwartungen war die Prüfung ziemlich schwer.,"Contrary to her expectations, the exam was quite difficult."
842,19,_____ vielen anderen Unternehmen setzt diese Firma auf Nachhaltigkeit.,Im Gegensatz zu,,Im Gegensatz zu vielen anderen Unternehmen setzt diese Firma auf Nachhaltigkeit.,"Unlike many other companies, this firm focuses on sustainability."
843,19,_____ meinem Bruder interessiere ich mich nicht für Sport.,Im Gegensatz zu,,Im Gegensatz zu meinem Bruder interessiere ich mich nicht für Sport.,"Unlike my brother, I am not interested in sports."
844,19,_____ seinem Gehalt erhält er monatliche Boni.,Zusätzlich zu,,Zusätzlich zu seinem Gehalt erhält er monatliche Boni.,"In addition to his salary, he receives monthly bonuses."
845,19,_____ den Hausaufgaben müssen die Schüler ein Projekt vorbereiten.,Zusätzlich zu,,Zusätzlich zu den Hausaufgaben müssen die Schüler ein Projekt vorbereiten.,"In addition to the homework, the students have to prepare a project."
846,19,Sie hat _____ ihrem Studium einen Nebenjob.,zusätzlich zu,,Sie hat zusätzlich zu ihrem Studium einen Nebenjob.,She has a part-time job in addition to her studies.
847,19,_____ den üblichen Gebühren fallen noch Servicekosten an.,Zusätzlich zu,,Zusätzlich zu den üblichen Gebühren fallen noch Servicekosten an.,"In addition to the usual fees, there are also service costs."
848,19,Er trainiert _____ seinem normalen Sportprogramm dreimal pro Woche im Fitnessstudio.,zusätzlich zu,,Er trainiert zusätzlich zu seinem normalen Sportprogramm dreimal pro Woche im Fitnessstudio.,"In addition to his regular sports routine, he trains at the gym three times a week."
849,19,_____ seines Geburtstags veranstaltete er eine große Feier.,Anlässlich,,Anlässlich seines Geburtstags veranstaltete er eine große Feier.,"On the occasion of his birthday, he hosted a big party."
850,19,Die Stadt organisierte ein Festival _____ des Jubiläums ihrer Gründung.,anlässlich,,Die Stadt organisierte ein Festival anlässlich des Jubiläums ihrer Gründung.,The city organized a festival in honor of the anniversary of its founding.
851,19,_____ der Hochzeit seiner Tochter lud er die gesamte Familie ein.,Anlässlich,,Anlässlich der Hochzeit seiner Tochter lud er die gesamte Familie ein.,"On the occasion of his daughter's wedding, he invited the entire family."
852,19,Der Präsident hielt eine Rede _____ des Nationalfeiertags.,anlässlich,,Der Präsident hielt eine Rede anlässlich des Nationalfeiertags.,The president gave a speech on the occasion of the national holiday.
853,19,_____ der Eröffnung des neuen Museums wurden kostenlose Führungen angeboten.,Anlässlich,,Anlässlich der Eröffnung des neuen Museums wurden kostenlose Führungen angeboten.,"On the occasion of the new museum's opening, free tours were offered."
854,19,_____ des Vorstands traf niemand eine Entscheidung über das Projekt.,Ausschließlich,,Ausschließlich des Vorstands traf niemand eine Entscheidung über das Projekt.,"Except for the board, no one made a decision about the project."
855,19,Die Nutzung des Parkplatzes ist _____ der Belegschaft vorbehalten.,ausschließlich,,Die Nutzung des Parkplatzes ist ausschließlich der Belegschaft vorbehalten.,The use of the parking lot is reserved exclusively for the staff.
856,19,_____ der Kosten für Unterkunft und Verpflegung wurden alle Ausgaben erstattet.,Ausschließlich,,Ausschließlich der Kosten für Unterkunft und Verpflegung wurden alle Ausgaben erstattet.,"Apart from the costs for accommodation and meals, all expenses were reimbursed."
857,19,Der Zugang zu den Daten bleibt _____ der Geschäftsleitung vorbehalten.,ausschließlich,,Der Zugang zu den Daten bleibt ausschließlich der Geschäftsleitung vorbehalten.,Access to the data remains exclusively reserved for management.
858,19,_____ der wissenschaftlichen Erkenntnisse wurde eine neue Strategie entwickelt.,Ausschließlich,,Ausschließlich der wissenschaftlichen Erkenntnisse wurde eine neue Strategie entwickelt.,A new strategy was developed solely based on scientific findings.
859,19,_____ der Grenze gibt es wirtschaftliche Kooperationen zwischen den Ländern.,Beiderseits,,Beiderseits der Grenze gibt es wirtschaftliche Kooperationen zwischen den Ländern.,"On both sides of the border, there are economic cooperations between the countries."
860,19,Die Bäume _____ der Straße spenden angenehmen Schatten im Sommer.,beiderseits,,Die Bäume beiderseits der Straße spenden angenehmen Schatten im Sommer.,The trees on both sides of the road provide pleasant shade in summer.
861,19,_____ des Flusses erstrecken sich wunderschöne Weinberge.,Beiderseits,,Beiderseits des Flusses erstrecken sich wunderschöne Weinberge.,"On both sides of the river, beautiful vineyards stretch out."
862,19,Die Diskussion führte zu einer besseren Verständigung _____ der Verhandlungstische.,beiderseits,,Die Diskussion führte zu einer besseren Verständigung beiderseits der Verhandlungstische.,The discussion led to better understanding on both sides of the negotiation tables.
863,19,_____ des Vertrages bestehen klare Verpflichtungen für beide Parteien.,Beiderseits,,Beiderseits des Vertrages bestehen klare Verpflichtungen für beide Parteien.,"On both sides of the contract, there are clear obligations for both parties."
864,19,_____ der Grenze gelten andere Gesetze als im Nachbarland.,Diesseits,,Diesseits der Grenze gelten andere Gesetze als im Nachbarland.,"On this side of the border, different laws apply than in the neighboring country."
865,19,Die Flora _____ des Flusses unterscheidet sich stark von der auf der anderen Seite.,diesseits,,Die Flora diesseits des Flusses unterscheidet sich stark von der auf der anderen Seite.,The flora on this side of the river differs significantly from that on the other side.
866,19,Die wirtschaftliche Entwicklung _____ der Alpen verläuft dynamischer als jenseits davon.,diesseits,,Die wirtschaftliche Entwicklung diesseits der Alpen verläuft dynamischer als jenseits davon.,The economic development on this side of the Alps is progressing more dynamically than beyond them.
867,19,_____ des politischen Spektrums gibt es viele unterschiedliche Meinungen zu diesem Thema.,Diesseits,,Diesseits des politischen Spektrums gibt es viele unterschiedliche Meinungen zu diesem Thema.,"On this side of the political spectrum, there are many different opinions on this topic."
868,19,Die Temperaturen _____ des Äquators sind im Winter deutlich milder als jenseits davon.,diesseits,,Die Temperaturen diesseits des Äquators sind im Winter deutlich milder als jenseits davon.,The temperatures on this side of the equator are significantly milder in winter than beyond it.
